  A, V
  0.09910000,  7.50000000
  0.20070000,  7.52070000
  0.30050000,  7.47930000
  0.40020000,  7.43800000
  0.49990000,  7.29340000
  0.51630000,  7.14880000
  0.52880000,  7.00410000
  0.53800000,  6.71490000
  0.54850000,  6.32230000
  0.55630000,  5.97110000
  0.56490000,  5.47520000
  0.57400000,  5.04130000
  0.58060000,  4.44210000
  0.58780000,  3.96690000
  0.59630000,  3.30580000
  0.60360000,  2.76860000
  0.61080000,  2.23140000
  0.61800000,  1.71490000
  0.62190000,  1.21900000
  0.62780000,  0.61980000
  0.63370000,  0.02070000
