hh,mm,ss,mss,Power[W]
9,20,38,0,3.2979e-07
9,20,38,1,3.2979e-07
9,20,38,2,3.2980e-07
9,20,38,3,3.2980e-07
9,20,38,4,3.2981e-07
9,20,38,5,3.2981e-07
9,20,38,6,3.2983e-07
9,20,38,7,3.2983e-07
9,20,38,8,3.2984e-07
9,20,38,9,3.2984e-07
9,20,39,0,3.2985e-07
9,20,39,1,3.2985e-07
9,20,39,2,3.2986e-07
9,20,39,3,3.2986e-07
9,20,39,4,3.2988e-07
9,20,39,5,3.2988e-07
9,20,39,6,3.2990e-07
9,20,39,7,3.2990e-07
9,20,39,8,3.2990e-07
9,20,39,9,3.2990e-07
9,20,40,0,3.2991e-07
9,20,40,1,3.2991e-07
9,20,40,2,3.2992e-07
9,20,40,3,3.2992e-07
9,20,40,4,3.2994e-07
9,20,40,5,3.2994e-07
9,20,40,6,3.2995e-07
9,20,40,7,3.2995e-07
9,20,40,8,3.2996e-07
9,20,40,9,3.2996e-07
9,20,41,0,3.2998e-07
9,20,41,1,3.2998e-07
9,20,41,2,3.2999e-07
9,20,41,3,3.2999e-07
9,20,41,4,3.3000e-07
9,20,41,5,3.3000e-07
9,20,41,6,3.3001e-07
9,20,41,7,3.3001e-07
9,20,41,8,3.3003e-07
9,20,41,9,3.3003e-07
9,20,42,0,3.3004e-07
9,20,42,1,3.3004e-07
9,20,42,2,3.3005e-07
9,20,42,3,3.3005e-07
9,20,42,4,3.3006e-07
9,20,42,5,3.3006e-07
9,20,42,6,3.3007e-07
9,20,42,7,3.3007e-07
9,20,42,8,3.3009e-07
9,20,42,9,3.3009e-07
9,20,43,0,3.3010e-07
9,20,43,1,3.3010e-07
9,20,43,2,3.3011e-07
9,20,43,3,3.3011e-07
9,20,43,4,3.3012e-07
9,20,43,5,3.3012e-07
9,20,43,6,3.3013e-07
9,20,43,7,3.3013e-07
9,20,43,8,3.3014e-07
9,20,43,9,3.3014e-07
9,20,44,0,3.3016e-07
9,20,44,1,3.3016e-07
9,20,44,2,3.3017e-07
