hh,mm,ss,mss,quantity
9,20,38,0,747.109
9,20,38,1,580.058
9,20,38,2,783.598
9,20,38,3,619.69
9,20,38,4,834.601
9,20,38,5,623.85
9,20,38,6,0.776
9,20,38,7,354.431
9,20,38,8,874.321
9,20,38,9,765.832
9,20,39,0,283.615
9,20,39,1,122.231
9,20,39,2,950.303
9,20,39,3,37.876
9,20,39,4,919.091
9,20,39,5,204.679
9,20,39,6,940.097
9,20,39,7,251.902
9,20,39,8,173.148
9,20,39,9,191.16
9,20,40,0,284.835
9,20,40,1,788.324
9,20,40,2,105.676
9,20,40,3,973.72
9,20,40,4,294.449
9,20,40,5,472.413
9,20,40,6,198.603
9,20,40,7,432.675
9,20,40,8,283.414
9,20,40,9,73.724
9,20,41,0,560.065
9,20,41,1,202.446
9,20,41,2,639.865
9,20,41,3,971.824
9,20,41,4,911.967
9,20,41,5,36.095
9,20,41,6,793.307
9,20,41,7,88.083
9,20,41,8,40.536
9,20,41,9,204.107
9,20,42,0,291.252
9,20,42,1,284.942
9,20,42,2,510.826
9,20,42,3,700.728
9,20,42,4,433.407
9,20,42,5,440.752
9,20,42,6,236.0
9,20,42,7,899.92
9,20,42,8,126.618
9,20,42,9,259.096
9,20,43,0,283.657
9,20,43,1,86.461
9,20,43,2,115.74
9,20,43,3,61.757
9,20,43,4,115.602
9,20,43,5,850.195
9,20,43,6,77.784
9,20,43,7,796.759
9,20,43,8,715.204
9,20,43,9,54.932
9,20,44,0,852.326
9,20,44,1,374.41
9,20,44,2,567.713
9,20,44,3,346.658
9,20,44,4,472.913
9,20,44,5,433.595
9,20,44,6,424.347
9,20,44,7,557.823
9,20,44,8,325.181
9,20,44,9,582.873
9,20,45,0,959.643
9,20,45,1,640.363
9,20,45,2,887.583
9,20,45,3,430.437
9,20,45,4,607.279
9,20,45,5,617.575
9,20,45,6,511.358
9,20,45,7,214.23
9,20,45,8,244.519
9,20,45,9,340.93
9,20,46,0,138.045
9,20,46,1,326.197
9,20,46,2,717.8
9,20,46,3,346.56
9,20,46,4,477.897
9,20,46,5,902.154
9,20,46,6,701.357
9,20,46,7,134.444
9,20,46,8,811.143
9,20,46,9,319.082
9,20,47,0,268.008
9,20,47,1,374.936
9,20,47,2,886.878
9,20,47,3,523.109
9,20,47,4,868.788
9,20,47,5,653.539
9,20,47,6,993.712
9,20,47,7,174.725
9,20,47,8,597.489
9,20,47,9,378.072
9,20,48,0,94.206
9,20,48,1,985.257
9,20,48,2,988.403
9,20,48,3,879.474
9,20,48,4,961.012
9,20,48,5,750.372
9,20,48,6,766.624
9,20,48,7,781.904
9,20,48,8,878.296
9,20,48,9,232.944
9,20,49,0,419.986
9,20,49,1,113.537
9,20,49,2,686.527
9,20,49,3,758.513
9,20,49,4,353.803
9,20,49,5,999.264
9,20,49,6,768.585
9,20,49,7,410.425
9,20,49,8,735.574
9,20,49,9,611.629
9,20,50,0,879.403
9,20,50,1,923.504
9,20,50,2,55.896
9,20,50,3,15.251
9,20,50,4,901.012
9,20,50,5,123.751
9,20,50,6,338.28
9,20,50,7,984.483
9,20,50,8,555.938
9,20,50,9,114.788
9,20,51,0,934.801
9,20,51,1,300.58
9,20,51,2,223.102
9,20,51,3,983.926
9,20,51,4,315.7
9,20,51,5,960.05
9,20,51,6,232.283
9,20,51,7,186.32
9,20,51,8,703.942
9,20,51,9,764.121
9,20,52,0,566.074
9,20,52,1,748.4
9,20,52,2,157.971
9,20,52,3,388.687
9,20,52,4,642.664
9,20,52,5,802.057
9,20,52,6,453.632
9,20,52,7,519.876
9,20,52,8,630.047
9,20,52,9,978.059
9,20,53,0,139.169
9,20,53,1,302.727
9,20,53,2,905.585
9,20,53,3,606.239
9,20,53,4,245.325
9,20,53,5,831.151
9,20,53,6,541.761
9,20,53,7,373.113
9,20,53,8,293.357
9,20,53,9,397.034
9,20,54,0,264.115
9,20,54,1,966.906
9,20,54,2,586.996
9,20,54,3,302.156
9,20,54,4,132.368
9,20,54,5,252.086
9,20,54,6,433.826
9,20,54,7,993.022
9,20,54,8,804.457
9,20,54,9,789.402
9,20,55,0,364.152
9,20,55,1,447.701
9,20,55,2,219.966
9,20,55,3,969.714
9,20,55,4,918.776
9,20,55,5,936.171
9,20,55,6,440.828
9,20,55,7,981.853
9,20,55,8,581.045
9,20,55,9,679.018
9,20,56,0,443.383
9,20,56,1,274.932
9,20,56,2,994.364
9,20,56,3,165.129
9,20,56,4,121.885
9,20,56,5,654.944
9,20,56,6,488.289
9,20,56,7,468.168
9,20,56,8,986.628
9,20,56,9,553.674
9,20,57,0,87.095
9,20,57,1,230.337
9,20,57,2,452.637
9,20,57,3,59.837
9,20,57,4,742.632
9,20,57,5,273.53
9,20,57,6,163.794
9,20,57,7,770.219
9,20,57,8,16.883
9,20,57,9,673.904
9,20,58,0,48.522
9,20,58,1,170.052
9,20,58,2,561.727
9,20,58,3,118.117
9,20,58,4,720.149
9,20,58,5,373.67
9,20,58,6,621.947
9,20,58,7,939.267
9,20,58,8,653.577
9,20,58,9,495.254
9,20,59,0,664.688
9,20,59,1,606.782
9,20,59,2,577.707
9,20,59,3,976.571
9,20,59,4,785.532
9,20,59,5,709.603
9,20,59,6,647.11
9,20,59,7,566.459
9,20,59,8,613.671
9,20,59,9,430.362
9,21,0,0,829.379
9,21,0,1,566.213
9,21,0,2,387.152
9,21,0,3,665.628
9,21,0,4,669.473
9,21,0,5,486.424
9,21,0,6,655.172
9,21,0,7,456.397
9,21,0,8,933.098
9,21,0,9,376.679
9,21,1,0,515.708
9,21,1,1,497.647
9,21,1,2,817.778
9,21,1,3,24.494
9,21,1,4,492.027
9,21,1,5,442.111
9,21,1,6,331.429
9,21,1,7,420.648
9,21,1,8,952.646
9,21,1,9,965.423
9,21,2,0,213.113
9,21,2,1,393.42
9,21,2,2,256.386
9,21,2,3,599.949
9,21,2,4,763.411
9,21,2,5,9.422
9,21,2,6,551.243
9,21,2,7,626.63
9,21,2,8,118.43
9,21,2,9,507.63
9,21,3,0,802.927
9,21,3,1,715.135
9,21,3,2,349.494
9,21,3,3,69.569
9,21,3,4,510.25
9,21,3,5,840.231
9,21,3,6,963.815
9,21,3,7,821.777
9,21,3,8,504.351
9,21,3,9,841.224
9,21,4,0,821.009
9,21,4,1,525.286
9,21,4,2,865.128
