hh,mm,ss,mss,Power[W]
9,20,38,0,4.6412e+00
9,20,38,1,4.6412e+00
9,20,38,2,4.6408e+00
9,20,38,3,4.6408e+00
9,20,38,4,4.6407e+00
9,20,38,5,4.6407e+00
9,20,38,6,4.6405e+00
9,20,38,7,4.6405e+00
9,20,38,8,4.6402e+00
9,20,38,9,4.6402e+00
9,20,39,0,4.6400e+00
9,20,39,1,4.6400e+00
9,20,39,2,4.6398e+00
9,20,39,3,4.6398e+00
9,20,39,4,4.6394e+00
9,20,39,5,4.6394e+00
9,20,39,6,4.6391e+00
9,20,39,7,4.6391e+00
9,20,39,8,4.6390e+00
9,20,39,9,4.6390e+00
9,20,40,0,4.6388e+00
9,20,40,1,4.6388e+00
9,20,40,2,4.6386e+00
9,20,40,3,4.6386e+00
9,20,40,4,4.6383e+00
9,20,40,5,4.6383e+00
9,20,40,6,4.6380e+00
9,20,40,7,4.6380e+00
9,20,40,8,4.6378e+00
9,20,40,9,4.6378e+00
9,20,41,0,4.6375e+00
9,20,41,1,4.6375e+00
9,20,41,2,4.6373e+00
9,20,41,3,4.6373e+00
9,20,41,4,4.6371e+00
9,20,41,5,4.6371e+00
9,20,41,6,4.6369e+00
9,20,41,7,4.6369e+00
9,20,41,8,4.6366e+00
9,20,41,9,4.6366e+00
9,20,42,0,4.6363e+00
9,20,42,1,4.6363e+00
9,20,42,2,4.6362e+00
9,20,42,3,4.6362e+00
9,20,42,4,4.6359e+00
9,20,42,5,4.6359e+00
9,20,42,6,4.6357e+00
9,20,42,7,4.6357e+00
9,20,42,8,4.6354e+00
9,20,42,9,4.6354e+00
9,20,43,0,4.6352e+00
9,20,43,1,4.6352e+00
9,20,43,2,4.6349e+00
9,20,43,3,4.6349e+00
9,20,43,4,4.6348e+00
9,20,43,5,4.6348e+00
9,20,43,6,4.6345e+00
9,20,43,7,4.6345e+00
9,20,43,8,4.6344e+00
9,20,43,9,4.6344e+00
9,20,44,0,4.6340e+00
9,20,44,1,4.6340e+00
