hh,mm,ss,mss,quantity
9,20,38,0,80.145
9,20,38,1,80.145
9,20,38,2,80.149
9,20,38,3,80.149
9,20,38,4,80.151
9,20,38,5,80.151
9,20,38,6,80.154
9,20,38,7,80.154
9,20,38,8,80.157
9,20,38,9,80.157
9,20,39,0,80.16
9,20,39,1,80.16
9,20,39,2,80.162
9,20,39,3,80.162
9,20,39,4,80.167
9,20,39,5,80.167
9,20,39,6,80.171
9,20,39,7,80.171
9,20,39,8,80.172
9,20,39,9,80.172
9,20,40,0,80.175
9,20,40,1,80.175
9,20,40,2,80.178
9,20,40,3,80.178
9,20,40,4,80.181
9,20,40,5,80.181
9,20,40,6,80.185
9,20,40,7,80.185
9,20,40,8,80.187
9,20,40,9,80.187
9,20,41,0,80.191
9,20,41,1,80.191
9,20,41,2,80.194
9,20,41,3,80.194
9,20,41,4,80.196
9,20,41,5,80.196
9,20,41,6,80.199
9,20,41,7,80.199
9,20,41,8,80.203
9,20,41,9,80.203
9,20,42,0,80.206
9,20,42,1,80.206
9,20,42,2,80.208
9,20,42,3,80.208
9,20,42,4,80.211
9,20,42,5,80.211
9,20,42,6,80.214
9,20,42,7,80.214
9,20,42,8,80.218
9,20,42,9,80.218
9,20,43,0,80.22
9,20,43,1,80.22
9,20,43,2,80.224
9,20,43,3,80.224
9,20,43,4,80.225
9,20,43,5,80.225
9,20,43,6,80.229
9,20,43,7,80.229
9,20,43,8,80.23
9,20,43,9,80.23
9,20,44,0,80.235
9,20,44,1,80.235
9,20,44,2,80.237
9,20,44,3,80.237
9,20,44,4,80.24
9,20,44,5,80.24
9,20,44,6,80.243
9,20,44,7,80.243
9,20,44,8,80.245
9,20,44,9,80.245
9,20,45,0,80.248
9,20,45,1,80.248
9,20,45,2,80.251
9,20,45,3,80.251
9,20,45,4,80.254
9,20,45,5,80.254
9,20,45,6,80.258
9,20,45,7,80.258
9,20,45,8,80.26
9,20,45,9,80.26
9,20,46,0,80.264
9,20,46,1,80.264
9,20,46,2,80.266
9,20,46,3,80.266
9,20,46,4,80.269
9,20,46,5,80.269
9,20,46,6,80.274
9,20,46,7,80.274
9,20,46,8,80.277
9,20,46,9,80.277
9,20,47,0,80.281
9,20,47,1,80.281
9,20,47,2,80.284
9,20,47,3,80.284
9,20,47,4,80.288
9,20,47,5,80.288
9,20,47,6,80.291
9,20,47,7,80.291
9,20,47,8,80.294
9,20,47,9,80.294
9,20,48,0,80.298
9,20,48,1,80.298
9,20,48,2,80.303
9,20,48,3,80.303
9,20,48,4,80.305
9,20,48,5,80.305
9,20,48,6,80.308
9,20,48,7,80.308
9,20,48,8,80.313
9,20,48,9,80.313
9,20,49,0,80.316
9,20,49,1,80.316
9,20,49,2,80.319
9,20,49,3,80.319
9,20,49,4,80.321
9,20,49,5,80.321
9,20,49,6,80.324
9,20,49,7,80.324
9,20,49,8,80.328
9,20,49,9,80.328
9,20,50,0,80.332
9,20,50,1,80.332
9,20,50,2,80.335
9,20,50,3,80.335
9,20,50,4,80.339
9,20,50,5,80.339
9,20,50,6,80.342
9,20,50,7,80.342
9,20,50,8,80.345
9,20,50,9,80.345
9,20,51,0,80.348
